# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
0; 00000-pano.jpg; 1750969907.689808; 324526.989192; 827176.830642; 17.057556; 0.792882; -0.104022; -0.161846; -0.578207
1; 00001-pano.jpg; 1750969921.020267; 324528.415726; 827164.937933; 16.706089; 0.975905; 0.034735; -0.055093; 0.208251
2; 00002-pano.jpg; 1750969930.469391; 324536.867613; 827166.500068; 16.925709; 0.991390; 0.028326; -0.106620; 0.070538
3; 00003-pano.jpg; 1750969952.155432; 324537.294685; 827156.294233; 16.715799; 0.759386; -0.064119; -0.074437; -0.643180
4; 00004-pano.jpg; 1750969960.552774; 324538.229415; 827147.961448; 16.892636; 0.796062; -0.062255; -0.095204; -0.594429
5; 00005-pano.jpg; 1750969970.742883; 324539.683765; 827139.880693; 17.031618; 0.807188; -0.050084; -0.106135; -0.578510
6; 00006-pano.jpg; 1750969981.597822; 324542.017568; 827133.302454; 17.191230; 0.863427; -0.040303; -0.081634; -0.496191
7; 00007-pano.jpg; 1750970002.614717; 324549.992823; 827135.428542; 17.591113; 0.952237; 0.040328; -0.129604; 0.273535
8; 00008-pano.jpg; 1750970010.945638; 324558.753077; 827140.104872; 17.628296; 0.973742; 0.028135; -0.094986; 0.204968
9; 00009-pano.jpg; 1750970031.128316; 324542.582292; 827125.285210; 17.237871; 0.771678; -0.111844; -0.119538; -0.614585
10; 00010-pano.jpg; 1750970042.029077; 324544.314676; 827116.359452; 17.141911; 0.794770; -0.074251; -0.094416; -0.594905
11; 00011-pano.jpg; 1750970050.169359; 324545.855049; 827108.259691; 16.969436; 0.786193; -0.103973; -0.108191; -0.599487
12; 00012-pano.jpg; 1750970058.051540; 324547.595796; 827100.035306; 16.877018; 0.813775; -0.108769; -0.106022; -0.560980
13; 00013-pano.jpg; 1750970068.299237; 324549.684833; 827092.013053; 16.703630; 0.857991; -0.059039; -0.075732; -0.504610
14; 00014-pano.jpg; 1750970076.918022; 324554.795787; 827085.452349; 16.766204; 0.956657; -0.026829; -0.178699; -0.228375
15; 00015-pano.jpg; 1750970084.656507; 324561.932909; 827081.220831; 16.879313; 0.935843; -0.029200; -0.159757; -0.312768
16; 00016-pano.jpg; 1750970092.637712; 324567.955865; 827074.483475; 16.873848; 0.887287; -0.086768; -0.103139; -0.441084
17; 00017-pano.jpg; 1750970100.286734; 324571.854799; 827067.011055; 16.928032; 0.865387; -0.049666; -0.095816; -0.489345
18; 00018-pano.jpg; 1750970106.937341; 324574.962848; 827062.250071; 16.840488; 0.967553; -0.022491; -0.122687; -0.219734
19; 00019-pano.jpg; 1750970116.317014; 324581.970327; 827063.711273; 16.736941; 0.990020; 0.020996; -0.116188; 0.076939
20; 00020-pano.jpg; 1750970151.152590; 324555.218714; 827080.269303; 16.728384; -0.348501; 0.143979; 0.052191; 0.924713
21; 00021-pano.jpg; 1750970159.924368; 324548.965222; 827074.560355; 16.737819; -0.111775; 0.165801; 0.060141; 0.977957
22; 00022-pano.jpg; 1750970161.905299; 324548.295554; 827074.227535; 16.483668; -0.270911; -0.163376; -0.037622; 0.947892
23; 00023-pano.jpg; 1750970169.231975; 324543.129137; 827077.602735; 16.837697; 0.358569; 0.152818; -0.055276; 0.919249
24; 00024-pano.jpg; 1750970173.218255; 324545.070497; 827080.385734; 16.142517; 0.946213; -0.129926; 0.246465; 0.164485
25; 00025-pano.jpg; 1750970188.385757; 324547.658045; 827082.143275; 16.925085; 0.634971; 0.077878; -0.064310; 0.765905
26; 00026-pano.jpg; 1750970194.504763; 324541.903591; 827083.813498; 16.499892; -0.436446; -0.293341; -0.123353; 0.841576
27; 00027-pano.jpg; 1750970200.926617; 324534.159789; 827084.207557; 16.899000; -0.320879; 0.127336; 0.016309; 0.938380
28; 00028-pano.jpg; 1750970202.687833; 324533.344808; 827083.792828; 16.534427; -0.281281; -0.073920; -0.000522; 0.956774
