# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
0; 00000-pano.jpg; 1750970642.340544; 324612.429010; 827192.585473; 17.621334; 0.843112; 0.004536; 0.003731; -0.537706
1; 00001-pano.jpg; 1750970657.077807; 324618.580909; 827182.965423; 17.345132; 0.754035; -0.088226; -0.132692; -0.637213
2; 00002-pano.jpg; 1750970674.402179; 324618.082931; 827176.380777; 17.391471; 0.813031; -0.072696; -0.119407; -0.565188
3; 00003-pano.jpg; 1750970683.824975; 324619.710890; 827168.600090; 17.368663; 0.787291; -0.080676; -0.111160; -0.601089
4; 00004-pano.jpg; 1750970694.192169; 324621.229805; 827161.300938; 17.302845; 0.786536; -0.072069; -0.103904; -0.604459
5; 00005-pano.jpg; 1750970702.416669; 324622.305168; 827154.644828; 17.205365; 0.821691; -0.093486; -0.166279; -0.537063
6; 00006-pano.jpg; 1750970712.833635; 324628.389186; 827159.347573; 17.978520; 0.907448; 0.049310; -0.120860; 0.399373
7; 00007-pano.jpg; 1750970722.762500; 324632.682821; 827164.003717; 18.209333; 0.961682; 0.041474; -0.136888; 0.233901
8; 00008-pano.jpg; 1750970741.013481; 324622.771284; 827151.351064; 17.241902; 0.745900; -0.067287; -0.108749; -0.653666
9; 00009-pano.jpg; 1750970751.603919; 324624.031451; 827143.728325; 17.244728; 0.789393; -0.090633; -0.128503; -0.593407
10; 00010-pano.jpg; 1750970763.655122; 324626.029613; 827134.625575; 17.428847; 0.736085; -0.112366; -0.100578; -0.659877
11; 00011-pano.jpg; 1750970781.489383; 324627.075560; 827127.256164; 17.146918; 0.826668; -0.104785; -0.123293; -0.538924
12; 00012-pano.jpg; 1750970791.586666; 324633.465078; 827131.735508; 17.576118; 0.847440; 0.086043; -0.178690; 0.492455
13; 00013-pano.jpg; 1750970798.703274; 324635.606755; 827138.463196; 17.623695; 0.937593; 0.058827; -0.112922; 0.323584
14; 00014-pano.jpg; 1750970806.780362; 324634.812829; 827145.684904; 17.762806; 0.983617; 0.016915; -0.122560; 0.131115
15; 00015-pano.jpg; 1750970814.600482; 324628.098277; 827150.298032; 17.681459; 0.031998; 0.196837; -0.035977; 0.979253
16; 00016-pano.jpg; 1750970848.331850; 324627.730537; 827121.988072; 17.245410; 0.812393; -0.069628; -0.112974; -0.567808
17; 00017-pano.jpg; 1750970859.152281; 324636.222094; 827122.699579; 17.154702; 0.985108; -0.001503; -0.171832; 0.005848
18; 00018-pano.jpg; 1750970868.196286; 324645.038832; 827122.005794; 16.796665; 0.992293; 0.014872; -0.122890; 0.005670
19; 00019-pano.jpg; 1750970879.088945; 324652.867867; 827123.207878; 16.236615; 0.987987; 0.017040; -0.129613; 0.082414
20; 00020-pano.jpg; 1750970880.902886; 324653.309687; 827123.440452; 15.944539; 0.979194; -0.010211; 0.138276; 0.148168
21; 00021-pano.jpg; 1750970890.331015; 324659.441255; 827124.278068; 15.365830; 0.957529; 0.046818; -0.105049; 0.264409
22; 00022-pano.jpg; 1750970899.290192; 324666.753492; 827127.242046; 14.318117; 0.933400; 0.045523; -0.160308; 0.317796
23; 00023-pano.jpg; 1750970908.431181; 324669.180652; 827135.695307; 13.752337; 0.904468; 0.075533; -0.187094; 0.375802
24; 00024-pano.jpg; 1750970952.092356; 324628.795787; 827116.606657; 16.941519; 0.870569; -0.081187; -0.110361; -0.472586
25; 00025-pano.jpg; 1750970964.800912; 324639.825262; 827107.852364; 16.983181; 0.982460; -0.021277; -0.113666; -0.146285
26; 00026-pano.jpg; 1750970974.742878; 324649.190182; 827107.425218; 17.214991; 0.972526; 0.037542; -0.143345; 0.179542
27; 00027-pano.jpg; 1750970996.614854; 324631.041590; 827106.720030; 16.603333; 0.789773; -0.120905; -0.102852; -0.592505
28; 00028-pano.jpg; 1750971003.897778; 324633.328476; 827100.179033; 16.555894; 0.815902; -0.118566; -0.167889; -0.540426
29; 00029-pano.jpg; 1750971005.781162; 324633.511657; 827099.514216; 16.297084; 0.824234; 0.052825; 0.078079; -0.558347
30; 00030-pano.jpg; 1750971011.989230; 324635.725138; 827092.966872; 16.749996; 0.749632; -0.159674; -0.177576; -0.617271
31; 00031-pano.jpg; 1750971030.940682; 324636.252520; 827088.751693; 16.681773; 0.765948; -0.119864; -0.120727; -0.619984
32; 00032-pano.jpg; 1750971042.831908; 324635.273066; 827080.121310; 16.563104; 0.972964; 0.005890; 0.229936; 0.020894
33; 00033-pano.jpg; 1750971044.481901; 324635.056600; 827079.917263; 16.577550; 0.838414; 0.133420; 0.197021; -0.490352
34; 00034-pano.jpg; 1750971045.914635; 324634.362013; 827080.003523; 16.593413; -0.463527; -0.205896; -0.117233; 0.853818
35; 00035-pano.jpg; 1750971054.393399; 324628.170947; 827081.431613; 16.862286; 0.066469; 0.180850; -0.002937; 0.981258
36; 00036-pano.jpg; 1750971081.209612; 324619.562821; 827086.090145; 16.901742; 0.557072; -0.155208; -0.077871; -0.812107
37; 00037-pano.jpg; 1750971088.476775; 324619.797893; 827079.540433; 16.446831; 0.883957; -0.079191; -0.135633; -0.440400
38; 00038-pano.jpg; 1750971097.559191; 324617.834230; 827072.458395; 16.078777; 0.710509; -0.089563; -0.096282; -0.691293
39; 00039-pano.jpg; 1750971107.320976; 324612.645039; 827076.191031; 16.233700; 0.436503; 0.126839; -0.033573; 0.890084
40; 00040-pano.jpg; 1750971119.505450; 324619.928738; 827087.949422; 17.005034; 0.779915; 0.108944; -0.135210; 0.601317
41; 00041-pano.jpg; 1750971127.694967; 324612.257419; 827088.689522; 16.979112; 0.216333; 0.115675; -0.019416; 0.969248
42; 00042-pano.jpg; 1750971149.734094; 324629.722457; 827089.451821; 16.749017; 0.670322; 0.161958; -0.135236; 0.711442
43; 00043-pano.jpg; 1750971173.614453; 324622.881561; 827098.146454; 16.815510; 0.846220; 0.083525; -0.152893; 0.503547
44; 00044-pano.jpg; 1750971181.240281; 324624.740792; 827105.911655; 16.724345; 0.743428; 0.040570; -0.037445; 0.666534
45; 00045-pano.jpg; 1750971189.386778; 324623.598174; 827113.421009; 16.878651; 0.581217; 0.092949; -0.084183; 0.804027
46; 00046-pano.jpg; 1750971197.484224; 324622.284010; 827121.574807; 17.133837; 0.607481; 0.123912; -0.101140; 0.778064
47; 00047-pano.jpg; 1750971205.823908; 324620.636609; 827130.187890; 17.286802; 0.479437; 0.131520; -0.045608; 0.866465
48; 00048-pano.jpg; 1750971213.784686; 324614.232714; 827132.572413; 17.259846; -0.385875; 0.219221; 0.107906; 0.889606
49; 00049-pano.jpg; 1750971215.601962; 324613.439608; 827132.200554; 17.018078; -0.234597; 0.000995; -0.055382; 0.970513
50; 00050-pano.jpg; 1750971223.876118; 324610.814961; 827126.211139; 17.115993; -0.319552; 0.166639; 0.060650; 0.930827
51; 00051-pano.jpg; 1750971244.645376; 324619.610387; 827138.328398; 17.299556; 0.564115; 0.119406; -0.062283; 0.814639
52; 00052-pano.jpg; 1750971251.636399; 324618.181083; 827144.427417; 17.297585; 0.541874; 0.126610; -0.088226; 0.826171
53; 00053-pano.jpg; 1750971259.358869; 324616.589458; 827152.097622; 17.196881; 0.549754; 0.100716; -0.048679; 0.827803
54; 00054-pano.jpg; 1750971276.681486; 324614.524033; 827158.270348; 17.404288; 0.676868; 0.092460; -0.150206; 0.714660
55; 00055-pano.jpg; 1750971285.911447; 324613.242146; 827165.473048; 17.366190; 0.171523; 0.095015; 0.005326; 0.980573
56; 00056-pano.jpg; 1750971296.391172; 324604.983673; 827166.233061; 17.754505; 0.068188; 0.157056; -0.013774; 0.985137
57; 00057-pano.jpg; 1750971307.302412; 324603.279874; 827158.397642; 17.884427; 0.680805; -0.126096; -0.110360; -0.713039
58; 00058-pano.jpg; 1750971331.892294; 324612.950717; 827170.916085; 17.494173; 0.521295; 0.168175; -0.089064; 0.831887
59; 00059-pano.jpg; 1750971339.813137; 324609.996056; 827177.938449; 17.624833; 0.465527; 0.106408; -0.074134; 0.875481
60; 00060-pano.jpg; 1750971345.824684; 324605.255028; 827180.091574; 16.886406; -0.354238; -0.331334; 0.582584; 0.652173
61; 00061-pano.jpg; 1750971347.407757; 324606.018975; 827179.276855; 17.110094; 0.538794; 0.158887; 0.054927; -0.825493
62; 00062-pano.jpg; 1750971348.761461; 324606.935172; 827178.277365; 17.036432; 0.759769; 0.120110; 0.095687; -0.631798
63; 00063-pano.jpg; 1750971355.968900; 324606.899637; 827183.251662; 17.604859; 0.707722; 0.039447; -0.098241; 0.698514
