# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
0; 00000-pano.jpg; 1750956764.490688; 324206.276278; 827026.105082; 19.598627; -0.027517; 0.156159; -0.009439; 0.987303
1; 00001-pano.jpg; 1750956774.427169; 324197.778349; 827026.123505; 19.731007; -0.013453; 0.182541; -0.016214; 0.982972
2; 00002-pano.jpg; 1750956784.906244; 324195.900704; 827017.817220; 19.594874; 0.660662; -0.127954; -0.097923; -0.733188
3; 00003-pano.jpg; 1750956804.385032; 324195.276959; 827009.306211; 19.589786; 0.710652; -0.121509; -0.057756; -0.690560
4; 00004-pano.jpg; 1750956815.905698; 324194.575082; 827000.501214; 19.658441; 0.662487; -0.091489; -0.100933; -0.736582
5; 00005-pano.jpg; 1750956826.737376; 324194.041317; 826991.539614; 19.764870; 0.720246; -0.061902; -0.051777; -0.689008
6; 00006-pano.jpg; 1750956835.345606; 324193.916381; 826982.382010; 19.778498; 0.678740; -0.146268; -0.071842; -0.716070
7; 00007-pano.jpg; 1750956857.517682; 324193.378245; 826973.315460; 19.670663; 0.700914; -0.107077; -0.058768; -0.702710
8; 00008-pano.jpg; 1750956867.878086; 324192.590026; 826963.759047; 19.589477; 0.723354; -0.089040; -0.098295; -0.677620
9; 00009-pano.jpg; 1750956878.106297; 324192.051142; 826954.565594; 19.459886; 0.710127; -0.065759; -0.083187; -0.696043
10; 00010-pano.jpg; 1750956887.640824; 324192.085380; 826946.815510; 19.450044; 0.702303; -0.101614; -0.097659; -0.697787
11; 00011-pano.jpg; 1750956909.349722; 324191.603651; 826941.405446; 19.332621; 0.202597; 0.114528; -0.064639; 0.970392
12; 00012-pano.jpg; 1750956919.576872; 324185.791279; 826946.583580; 19.400737; 0.698882; 0.095681; -0.146946; 0.693409
13; 00013-pano.jpg; 1750956930.608236; 324186.237133; 826955.785167; 19.485768; 0.703091; 0.086351; -0.070404; 0.702317
14; 00014-pano.jpg; 1750956940.778952; 324186.818060; 826964.320082; 19.618620; 0.670507; 0.104973; -0.095939; 0.728147
15; 00015-pano.jpg; 1750956948.247318; 324187.192006; 826971.966754; 19.733553; 0.688649; 0.140848; -0.135024; 0.698350
16; 00016-pano.jpg; 1750956957.597191; 324187.483254; 826982.047517; 19.735271; 0.699382; 0.085859; -0.120543; 0.699259
17; 00017-pano.jpg; 1750956967.915249; 324187.993624; 826990.612816; 19.717159; 0.692873; 0.052967; -0.070380; 0.715660
18; 00018-pano.jpg; 1750956977.805917; 324188.402104; 826998.942433; 19.721113; 0.726908; 0.098583; -0.111411; 0.670428
19; 00019-pano.jpg; 1750956998.609084; 324188.437529; 827007.669601; 19.727798; 0.770338; 0.030344; -0.095531; 0.629708
20; 00020-pano.jpg; 1750957009.088201; 324188.629598; 827016.213694; 19.636899; 0.683718; 0.081570; -0.122200; 0.714803
21; 00021-pano.jpg; 1750957019.203420; 324188.954229; 827025.475830; 19.593109; 0.776781; 0.094361; -0.089374; 0.616213
22; 00022-pano.jpg; 1750957023.540745; 324189.402800; 827027.522922; 19.571779; -0.000768; 0.025426; -0.018182; 0.999511
23; 00023-pano.jpg; 1750957029.423247; 324189.616796; 827033.541423; 19.629767; 0.715606; 0.098531; -0.130512; 0.679092
24; 00024-pano.jpg; 1750957046.497834; 324189.847182; 827040.020847; 19.586869; 0.680351; 0.108624; -0.147440; 0.709637
25; 00025-pano.jpg; 1750957056.224411; 324189.803901; 827048.731992; 19.620813; 0.690035; 0.085324; -0.124670; 0.707834
26; 00026-pano.jpg; 1750957064.467179; 324190.046974; 827058.325552; 19.596420; 0.668010; 0.107995; -0.127203; 0.725203
27; 00027-pano.jpg; 1750957072.498769; 324189.979438; 827066.796563; 19.505108; 0.727352; 0.128993; -0.138744; 0.659598
28; 00028-pano.jpg; 1750957083.316577; 324189.916443; 827075.488628; 19.321046; 0.660097; 0.090128; -0.069402; 0.742518
29; 00029-pano.jpg; 1750957094.201378; 324189.289133; 827083.810163; 19.219846; 0.632974; 0.097419; -0.066601; 0.765126
30; 00030-pano.jpg; 1750957102.184639; 324185.826948; 827090.897869; 19.231959; 0.124452; 0.042807; -0.099378; 0.986308
31; 00031-pano.jpg; 1750957110.819884; 324179.455885; 827095.409142; 19.040226; 0.368232; 0.079711; -0.063601; 0.924124
32; 00032-pano.jpg; 1750957120.438005; 324188.937134; 827097.930399; 19.128310; 0.987192; 0.007924; -0.159334; 0.001208
